127.0.0.1, 2014-12-22 21:21:05, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2014-12-22 21:21:06, GET, /welcome/default/index, HTTP/1.1, 200, 1.002000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.070000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.021000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.020000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:07, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin, HTTP/1.1, 200, 0.487000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/plugin_multiselect/start.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:24, GET, /admin/static/_2.9.11/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-22 21:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-12-22 21:21:27, POST, /admin/default/index, HTTP/1.1, 303, 0.222000
127.0.0.1, 2014-12-22 21:21:28, GET, /admin/default/site, HTTP/1.1, 200, 0.469000
127.0.0.1, 2014-12-22 21:21:28, GET, /admin/static/_2.9.11/images/folder_locked.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:28, GET, /admin/static/_2.9.11/images/folder.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-22 21:21:28, GET, /admin/static/_2.9.11/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:21:29, POST, /admin/default/check_version, HTTP/1.1, 200, 1.213000
127.0.0.1, 2014-12-22 21:21:37, POST, /admin/default/site, HTTP/1.1, 200, 0.206000
127.0.0.1, 2014-12-22 21:22:10, POST, /admin/default/site, HTTP/1.1, 303, 1.278000
127.0.0.1, 2014-12-22 21:22:10, GET, /admin/default/site, HTTP/1.1, 200, 0.136000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/default/index, HTTP/1.1, 200, 0.073000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/calendar.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/web2py.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/web2py.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/css/custom.css, HTTP/1.1, 200, 0.016000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/analytics.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/share.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/title-sidebar.jpg, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/logo.jpg, HTTP/1.1, 200, 0.042000
